Date,Day,Cases
3/1/2020,1,3
3/2/2020,2,5
3/3/2020,3,6
3/4/2020,4,28
3/5/2020,5,30
3/6/2020,6,31
3/7/2020,7,34
3/8/2020,8,39
3/9/2020,9,48
3/10/2020,10,63
3/11/2020,11,71
3/12/2020,12,81
3/13/2020,13,91
3/14/2020,14,102
3/15/2020,15,112
3/16/2020,16,126
3/17/2020,17,146
3/18/2020,18,171
3/19/2020,19,198
3/20/2020,20,256
3/21/2020,21,334
3/22/2020,22,403
3/23/2020,23,497
3/24/2020,24,571
3/25/2020,25,657
3/26/2020,26,730
3/27/2020,27,883
3/28/2020,28,1019
3/29/2020,29,1139
3/30/2020,30,1356
3/31/2020,31,1635
4/1/2020,32,2059
4/2/2020,33,2545
4/3/2020,34,3105
4/4/2020,35,3684
4/5/2020,36,4293
4/6/2020,37,4777
4/7/2020,38,5350
4/8/2020,39,5915
4/9/2020,40,6728
4/10/2020,41,7599
4/11/2020,42,8453
4/12/2020,43,9211
4/13/2020,44,10455
4/14/2020,45,11485
4/15/2020,46,12371
4/16/2020,47,13432
4/17/2020,48,14354
4/18/2020,49,15725
4/19/2020,50,17305
4/20/2020,51,18544
4/21/2020,52,20081
4/22/2020,53,21373
4/23/2020,54,23040
4/24/2020,55,24448
4/25/2020,56,26283
4/26/2020,57,27890
4/27/2020,58,29458
4/28/2020,59,31360
4/29/2020,60,33065
4/30/2020,61,34866
5/1/2020,62,37262
5/2/2020,63,39826
5/3/2020,64,42778
5/4/2020,65,46434
5/5/2020,66,49405
5/6/2020,67,53007
5/7/2020,68,56351
5/8/2020,69,59690
5/9/2020,70,62865
5/10/2020,71,67176
5/11/2020,72,70768
5/12/2020,73,74338
5/13/2020,74,78056
5/14/2020,75,82047
5/15/2020,76,85855
5/16/2020,77,90649
5/17/2020,78,95698
5/18/2020,79,100326
5/19/2020,80,106580
5/20/2020,81,111601
5/21/2020,82,118223
5/22/2020,83,124759
5/23/2020,84,131424
5/24/2020,85,138537
5/25/2020,86,144951
5/26/2020,87,150858
5/27/2020,88,158104
5/28/2020,89,165358
5/29/2020,90,173496
5/30/2020,91,181860
5/31/2020,92,190649
6/01/2020,93,198371
6/02/2020,94,207186
6/03/2020,95,216875
6/04/2020,96,226713
6/05/2020,97,236191
6/06/2020,98,246599
6/07/2020,99,257481
6/08/2020,100,266017
6/09/2020,101,275998
6/10/2020,102,287194
6/11/2020,103,298289
6/12/2020,104,309595
6/13/2020,105,321634
6/14/2020,106,333462
6/15/2020,107,343071
6/16/2020,108,354161
6/17/2020,109,367265
6/18/2020,110,381094
6/19/2020,111,395834
6/20/2020,112,411752
6/21/2020,113,426902
6/22/2020,114,440450
6/23/2020,115,456117
6/24/2020,116,472985
6/25/2020,117,491190
6/26/2020,118,509446
6/26/2020,119,529446
6/26/2020,120,549446
