"Contact ID","campaign_id","parent_campaign_id","Campaign LaunchTime","Email Opened Time","country","state","Email Opened"
59915,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:04:00",NULL,NULL,"1"
151963,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:15:00","United Kingdom","England","1"
108960,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:00:00",NULL,NULL,"1"
71829,8351,8350,"2020-03-24 11:00:00","2020-04-01 07:43:00",NULL,NULL,"1"
149357,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:01:00","United States","Iowa","1"
151639,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:05:00",NULL,NULL,"1"
72005,9556,8955,"2020-06-17 07:00:00","2020-06-17 08:13:00",NULL,NULL,"1"
72083,8351,8350,"2020-03-24 11:00:00","2020-04-14 09:52:00",NULL,NULL,"1"
60235,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:00:00",NULL,NULL,"1"
109208,9556,8955,"2020-06-17 07:00:00","2020-07-01 16:08:00",NULL,NULL,"1"
108891,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:00:00","United States","Texas","1"
150224,9556,8955,"2020-06-17 07:00:00","2020-06-26 05:18:00",NULL,NULL,"1"
71965,8351,8350,"2020-03-24 11:00:00","2020-04-07 10:53:00",NULL,NULL,"1"
150152,9556,8955,"2020-06-17 07:00:00","2020-07-01 06:05:00",NULL,NULL,"1"
72158,8351,8350,"2020-03-24 11:00:00","2020-04-21 14:50:00",NULL,NULL,"1"
72334,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:02:00",NULL,NULL,"1"
150285,9556,8955,"2020-06-17 07:00:00","2020-07-01 06:25:00",NULL,NULL,"1"
60087,8351,8350,"2020-03-24 11:00:00","2020-04-23 15:14:00",NULL,NULL,"1"
60105,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:00:00",NULL,NULL,"1"
71742,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:16:00",NULL,NULL,"1"
109024,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:00:00",NULL,NULL,"1"
108997,9073,8958,"2020-06-03 07:00:00","2020-06-03 13:15:00",NULL,NULL,"1"
150872,9556,8955,"2020-06-17 07:00:00","2020-06-26 06:52:00",NULL,NULL,"1"
72083,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:12:00",NULL,NULL,"1"
108784,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00","United States","Texas","1"
108934,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:00:00",NULL,NULL,"1"
109014,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:00:00",NULL,NULL,"1"
72197,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:01:00",NULL,NULL,"1"
71909,8351,8350,"2020-03-24 11:00:00","2020-04-14 09:08:00",NULL,NULL,"1"
151369,9556,8955,"2020-06-17 07:00:00","2020-06-25 00:20:00",NULL,NULL,"1"
72766,8351,8350,"2020-03-24 11:00:00","2020-04-07 13:15:00",NULL,NULL,"1"
150739,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:14:00",NULL,NULL,"1"
60269,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:14:00",NULL,NULL,"1"
112704,9074,8957,"2020-05-27 07:00:00","2020-05-27 09:10:00",NULL,NULL,"1"
151361,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00","United States","Oregon","1"
55838,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:02:00",NULL,NULL,"1"
59907,8351,8350,"2020-03-24 11:00:00","2020-04-07 11:24:00",NULL,NULL,"1"
110478,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:18:00",NULL,NULL,"1"
151174,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:24:00","Japan","Tokyo","1"
72527,8351,8350,"2020-03-24 11:00:00","2020-04-07 14:22:00",NULL,NULL,"1"
151792,9556,8955,"2020-06-17 07:00:00","2020-06-24 06:08:00",NULL,NULL,"1"
108998,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00",NULL,NULL,"1"
110687,9556,8955,"2020-06-17 07:00:00","2020-07-01 19:40:00",NULL,NULL,"1"
151635,9556,8955,"2020-06-17 07:00:00","2020-07-01 09:58:00",NULL,NULL,"1"
72108,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:10:00",NULL,NULL,"1"
